"96","Pilot Travel Center","Okeechobee","FL","FL Turnpike, Exit 193","$2.059","$2.259","$2.459","","$2.459","$2.899","","B20"
"94","Pilot Travel Center","Punta Gorda","FL","I-75, Exit 161","$1.949","$2.149","$2.349","","$2.359","$2.799","8","B5"
"623","Flying J Travel Plaza","Quincy","FL","I-10 Exit 192","$1.939","$2.139","$2.339","$2.999","$2.359","$2.799","12","B10"
"626","Flying J Travel Plaza","St. Augustine","FL","I-95 Hwy 206 Exit 305","$1.989","$2.189","$2.389","$2.999","$2.459","$2.799","8","B5"
"625","Flying J Travel Plaza","Tampa","FL","I-4 & SR 579 Exit 10","$1.939","$2.139","$2.339","$2.999","$2.459","$2.799","6","B5"
"1058","Pilot Travel Center","Waldo","FL","","","","","","$2.299","$2.899","",""
"95","Pilot Travel Center","Wildwood","FL","I-75, Exit 329","$1.959","$2.159","$2.359","","$2.459","$2.799","7","B5"
"260","Pilot Travel Center","Albany","GA","Hwy 300 & Clark Ave","$1.769","$1.969","$2.169","","$2.299","$2.799","7"," "
"331","Pilot Travel Center","Atlanta","GA","I-285, Exit 51","$1.899","$2.099","$2.299","","$2.359","$2.799","8",""
"144","Pilot Travel Center","Augusta","GA","I-20, Exit 200","$1.869","$2.069","$2.269","","$2.399","$2.799","8","B5"
"65","Pilot Travel Center","Augusta","GA","I-20, Exit 194","$1.869","$2.069","$2.269","","$2.399","","","B5"
"66","Pilot Travel Center","Braselton","GA","I-85, Exit 129","$1.799","$1.999","$2.199","","$2.299","$2.799","7","B5"
"627","Flying J Travel Plaza","Brunswick","GA","I-95 Exit 29","$1.939","$2.139","$2.339","$2.999","$2.229","$2.799","12","B5"
"267","Pilot Travel Center","Byron","GA","I-75, Exit 146","$1.799","$1.999","$2.199","","$2.359","$2.799","9","B5"
"628","Flying J Travel Plaza","Carnesville","GA","I-85 Exit 160","$1.779","$1.979","$2.179","$2.999","$2.299","$2.799","12","B5"
"67","Pilot Travel Center","Cartersville","GA","I-75, Exit 296","$1.839","$2.039","$2.239","","$2.179","$2.799","10","B5"
"416","Pilot Travel Center","Cordele","GA","I-75, Exit 101","$1.859","$2.059","$2.259","$2.999","$2.269","$2.799","7","B5"
"421","Pilot Travel Center","Dalton","GA","I-75, Exit 326","$1.669","$1.869","$2.069","","$2.179","$2.799","10","B5"
"319","Pilot Travel Center","Dalton","GA","I-75, Exit 328","$1.669","$1.869","$2.069","","$2.179","$2.799","10","B5"
"68","Pilot Travel Center","Dublin","GA","I-16, Exit 51","$1.839","$2.039","$2.239","","$2.399","$2.799","4","B10"
"630","Flying J Travel Plaza","Jackson","GA","I-75, Exit 201","$1.859","$2.059","$2.259","$3.099","$2.359","$2.799","9","B5"
"69","Pilot Travel Center","LaGrange","GA","I-85, Exit 13","$1.899","$2.099","$2.299","","$2.359","$2.799","6","B5"
"631","Flying J Travel Plaza","Lake Park","GA","I-75 Exit 2","$1.879","$2.079","$2.279","$2.999","$2.269","$2.799","12","B5"
"420","Pilot Travel Center","Madison","GA","I-20, Exit 114","$1.889","$2.089","$2.289","","$2.399","$2.799","9","B5"
"422","Pilot Travel Center","Newnan","GA","I-85, Exit 41","$1.939","$2.139","$2.339","","$2.359","$2.799","7"," "
"71","Pilot Travel Center","Port Wentworth","GA","I-95, Exit 109","$1.879","$2.079","$2.279","","$2.229","$2.799","8","B5"
"632","Flying J Travel Plaza","Resaca","GA","I-75 Exit 320","$1.739","$1.939","$2.139","$2.999","$2.179","$2.799","12","B5"
"415","Pilot Travel Center","Rising Fawn","GA","I-59, Exit 4","$1.749","$1.949","$2.149","","$2.339","$2.799","10","B5"
"72","Pilot Travel Center","Savannah","GA","I-16, Exit 160","$1.899","$2.099","$2.299","","$2.399","$2.799","5","B5"
"575","Pilot Travel Center","St. Mary's","GA","I-95, Exit 1","$1.929","$2.129","$2.329","","$2.229","$2.799","14","B5"
"312","Pilot Travel Center","Tallapoosa","GA","I-20 & GA 100, Exit 5","$1.829","$2.029","$2.229","","$2.399","$2.799","8"," "
"417","Pilot Travel Center","Temple","GA","I-20, Exit 19","$1.899","$2.099","$2.299","","$2.399","$2.799","8"," "
"634","Flying J Travel Plaza","Temple","GA","I-20 & Hwy 113 Exit 19","$1.899","$2.099","$2.299","$2.999","$2.399","$2.799","12"," "
"192","Pilot Travel Center","Tifton","GA","I-75, Exit 60","$1.859","","$2.259","","$2.269","$2.799","8","B5"
"633","Flying J Travel Plaza","Union Point","GA","I-20 & Exit 138","$1.899","$2.099","$2.299","$2.999","$2.399","$2.799","8","B5"
"73","Pilot Travel Center","Valdosta","GA","I-75, Exit 11","$1.859","$2.059","$2.259","","$2.269","$2.799","8",""
"398","Pilot Travel Center","Vienna","GA","I-75, Exit 109","$1.859","$2.059","$2.259","","$2.269","$2.799","7","B5"
"254","Pilot Travel Center","Wildwood","GA","I-24/59, Exit 169","$1.779","$1.979","$2.179","","$2.339","$2.799","6","B5"
"913","Flying J Travel Plaza","Altoona","IA","I-80, US 65, Exit 142","$1.789","$1.989","$2.189","","$2.179","$2.799","12","B11"
"496","Pilot Travel Center","Atalissa","IA","I-80, Exit 265","","","","","$2.259","$2.799","11","B11"
"893","Pilot Travel Center","Avoca","IA","I-80, Exit 40","","","","","$2.259","$2.799","12","B11"
"495","Pilot Travel Center","Brooklyn","IA","I-80, Exit 201","$1.859","$2.059","$2.259","","$2.179","$2.799","7","B11"
"407","Pilot Travel Center","Clear Lake","IA","I-35, Exit 194","$1.699","$1.899","$2.099","","$2.279","$2.799","7","B11"
"329","Pilot Travel Center","Council Bluffs","IA","I-80/29, Exit 1B","$1.859","$2.059","$2.259","","$2.259","$2.799","8","B11"
"636","Flying J Travel Plaza","Davenport","IA","I-80 Exit 292","$1.799","$1.999","$2.199","$2.799","$2.259","$2.799","12","B11"
"373","Pilot Travel Center","Des Moines","IA","I-35/80, Ext 126","$1.899","$2.099","$2.299","","$2.179","$2.799","14","B11"
"532","Pilot Travel Center - Road Ranger","Elk Run Heights","IA","Highway 20, Exit 68","","","","","$2.279","$2.899","8","B11"
"637","Flying J Travel Plaza","Evansdale","IA","I-380 & Evansdale Dr.","$1.879","$2.079","$2.279","$2.899","$2.279","$2.899","7","B11"
"1012","Pilot Travel Center","Mt. Pleasant","IA","HWY 218 & HWY 34","$1.839","$2.039","$2.239","","$2.299","$2.899","7","B11"
"131","Pilot Travel Center","Osceola","IA","I-35, Exit 34","$1.899","$2.099","$2.299","$2.899","$2.199","$2.799","8","B11"
"238","Pilot Travel Center","Percival","IA","I-29, Exit 10","$1.939","$2.139","$2.339","","$2.259","$2.799","7","B11"
"594","Pilot Travel Center","Sioux City","IA","I-29, Exit 143","$1.839","$2.039","$2.239","","$2.299","$2.799","8","B11"
"43","Pilot Travel Center","Walcott","IA","I-80, Exit 284","$1.799","$1.999","$2.199","","$2.259","$2.799","11","B11"
"268","Pilot Travel Center","Walcott","IA","I-80, Exit 284 & CR Y40","$1.799","$1.999","$2.199","","$2.259","$2.799","6","B11"
"572","Flying J Travel Plaza","Williams","IA","I-35 & SR 20, Exit 144","$1.899","$2.099","$2.299","$2.899","$2.279","$2.799","7","B11"
"638","Flying J Travel Plaza","Caldwell","ID","I-84 Exit 29","$2.099","$2.299","$2.499","$2.299","$2.759","$2.799","8",""
"777","Flying J Travel Plaza","East Boise","ID","I-84 Exit 54 (Federal Way)","$1.979","$2.179","$2.379","$2.799","$2.759","$2.799","3",""
